index,Lobbying score,Highest paying industry info,Most loyal industry,Name
S001220,0.7273639986041822,"{'industry': 'Misc Defense', 'donations': 197650, 'score:': 0.875}","{'industry': 'Retired', 'score': 1.0}",Dale W. Strong
L000589,0.7303596456571338,"{'industry': 'Retired', 'donations': 139905, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Debbie Lesko
M001198,0.7313964385323369,"{'industry': 'Retired', 'donations': 590798, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Roger Marshall
S001200,0.7342695593383718,"{'industry': 'Health Professionals', 'donations': 100710, 'score:': 0.5714285714285714}","{'industry': 'Public Sector Unions', 'score': 1.0}",Darren Soto
L000557,0.7354123252950879,"{'industry': 'Health Professionals', 'donations': 88875, 'score:': 0.5714285714285714}","{'industry': 'Public Sector Unions', 'score': 1.0}",John B. Larson
M001220,0.7371956037699336,"{'industry': 'Retired', 'donations': 295467, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Morgan McGarvey
C001134,0.7422247494750658,"{'industry': 'Retired', 'donations': 395122, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Yadira Caraveo
S000344,0.7429820005496701,"{'industry': 'Securities &amp; Investment', 'donations': 278650, 'score:': 0.7352941176470589}","{'industry': 'Retired', 'score': 1.0}",Brad Sherman
S001183,0.7435413072413171,"{'industry': 'Retired', 'donations': 172157, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",David Schweikert
L000585,0.7435923345434897,"{'industry': 'Securities &amp; Investment', 'donations': 289875, 'score:': 0.7647058823529411}","{'industry': 'Retired', 'score': 1.0}",Darin LaHood
M001153,0.7455187940393098,"{'industry': 'Securities &amp; Investment', 'donations': 1050313, 'score:': 0.7058823529411765}","{'industry': 'Retired', 'score': 1.0}",Lisa Murkowski
H001093,0.7474613231590024,"{'industry': 'Retired', 'donations': 107216, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Erin Houchin
B001285,0.749802472191669,"{'industry': 'Retired', 'donations': 226006, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Julia Brownley
T000460,0.7500568993766986,"{'industry': 'Health Professionals', 'donations': 160088, 'score:': 0.5714285714285714}","{'industry': 'Retired', 'score': 1.0}",Mike Thompson
H001042,0.7502277033398249,"{'industry': 'Lawyers/Law Firms', 'donations': 569401, 'score:': 0.8}","{'industry': 'Retired', 'score': 1.0}",Mazie K. Hirono
D000096,0.7509846920653197,"{'industry': 'Health Professionals', 'donations': 50751, 'score:': 0.5714285714285714}","{'industry': 'Industrial Unions', 'score': 1.0}",Danny K. Davis
K000389,0.7518845961709231,"{'industry': 'Securities &amp; Investment', 'donations': 1128480, 'score:': 0.7058823529411765}","{'industry': 'Retired', 'score': 1.0}",Ro Khanna
